"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"RP11-54O7.18"	7.02735485782084	6.97311184999832	3.26283270603104	8.74690681432574	4.81150355740786	7.9382382705382
"C1orf159"	11.1516057415911	11.6043106635821	2.41833482917595	4.7537537034379	7.39596832538694	10.8689250739055
"SDF4"	236.326487792355	246.558709564092	247.744968055581	279.67917621893	282.943903481624	212.48633138115
"B3GALT6"	7.02735485782084	7.20993451660204	2.4951073634355	8.20814806126944	10.2003875417047	6.55366182800247
"UBE2J2"	55.1128944914998	61.1265616133815	23.4923954834235	32.0719916525277	31.2610259701299	46.8909888538768
"SCNN1D"	0.576012693264003	0.657840740565879	0.153545068519108	0.887367357975075	2.00708434109014	2.09994093784586
"ACAP3"	20.690375942043	20.1825539205612	8.6752963713296	9.57089078958831	16.2766291770597	24.2300877443753
"PUSL1"	10.5755930483271	10.4991382194314	2.18801722639729	6.08480474040051	8.4407519549955	7.68439925607331
"CPSF3L"	81.7016404125662	84.9140827922437	35.8527734992117	63.7002996260679	58.5353775641219	78.5747131139028
"RP5-890O3.9"	1.31330894064193	1.73669955509392	2.41833482917595	3.16916913562527	1.92460142296314	1.45380526466252
"CPTP"	9.26228410768517	8.94663407169596	1.38190561667197	3.73961958003782	6.57113914411702	10.7766199777365
"DVL1"	62.1172088415901	62.3633022056453	11.3239488032842	37.1743539608844	50.6995003420577	76.7516874645641
"MXRA8"	2.85702295858946	1.78932681433919	0.614180274076432	4.34176171580662	8.0833259764452	2.28455113018396
"AURKAIP1"	88.8441978090398	93.2818170122417	28.0219750047372	51.2137732317043	60.9273821898047	76.9593739309445
"CCNL2"	128.289547043759	122.805709448838	96.0040540915722	219.686804481544	206.124812399353	175.425835269277
"RP4-758J18.2"	28.1094194312834	29.9712241401815	16.1222321945063	27.3499296404461	28.0991807752619	26.5838676966861
"MRPL20"	99.0741832414085	102.438960120919	89.1329122753421	94.821540537908	79.7334875227588	65.8596861166163
"RN7SL657P"	0.529931677802883	1.02623155528277	0.652566541206209	0.855675666618822	0.522391814804282	0.438449206802982
"RP4-758J18.13"	1.29026843291137	1.13148607377331	1.11320174676353	0.82398397526257	0.494897508761951	0.41537293276072
"VWA1"	0.414729139150082	0.394704444339528	0.076772534259554	0.158458456781263	2.0620729531748	1.54611036083157
"ATAD3C"	0.852498786030725	1.4209359996223	0.422248938427547	0.82398397526257	0.714851957100596	0.576906851056555
"ATAD3B"	69.8357789313277	69.7837457592285	44.8735462747093	35.367927553578	33.845490738109	29.1684103894194
"ATAD3A"	174.071035904382	177.485431804674	137.230904988953	100.747886821527	110.059707087449	90.205155231203
"SSU72"	79.9966428405047	82.5721697558292	70.4388001831408	73.4296488724375	58.7278377064182	67.8211694102086
"FNDC10"	2.11972671121153	2.13140399943345	0.307090137038216	2.15503501222518	6.24120747160905	4.52294971228339
"RP11-345P4.9"	1.91236214163649	2.23665851792399	0.88288414398487	1.99657655544392	2.14455587130179	2.00763584167681
"MIB2"	3.43303565185346	4.15755348037636	0.844497876855093	2.3451851603627	5.91127579910108	10.822772525821
"CDK11B"	305.678416061341	322.947176358601	734.367676459763	510.426380983806	228.972580720529	168.941402263402
"RP11-345P4.10"	1.77411909525313	1.97352222169764	2.26478976065684	3.42270266647529	3.10685658278336	3.02299189953635
"SLC35E2B"	23.6626014392852	21.7613716979193	11.016858666246	31.5332328994714	30.2162423405214	32.5836989476742
"CDK11A"	191.996550918758	189.458133282973	345.399631633733	240.730087542095	133.292395693219	115.704438047903
"RP1-283E3.8"	190.982768578613	188.879233431275	345.514790435123	240.381478937177	133.677315977812	116.442878817255
"RP1-283E3.4"	1.49763300248641	1.15779970339595	0.690952808335986	1.23597596289385	1.62216405649751	2.12301721188812
"SLC35E2"	7.1655979042042	6.55209377603616	3.60830911019904	9.53919909823206	9.98043309336602	10.9381538960323
"NADK"	70.6421967018973	70.8362909441339	32.4747819917913	57.0767361326111	58.8103206245452	64.0597367413199
