"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"EXOSC10"	7.58604079489456	7.58208979436748	8.27766414388422	7.21461465806274	7.06468498655859	6.75834985796
"RP4-635E18.7"	5.75099353138794	5.76114225218365	6.86536904064019	5.61898126074925	5.23838774022352	4.82156460200596
"RP4-635E18.6"	3.32976154402049	3.35589572674186	0.359775463271498	2.42735657964684	2.7161163601924	2.82642209643364
"MTOR"	7.19521369618165	7.24733056284067	7.16880440284973	7.13650493733716	6.95066374398288	6.85469655622712
"MTOR-AS1"	2.50506495883689	2.55340406854482	2.25591643833823	2.48566153712462	2.21611781606965	1.77568328811035
"UBIAD1"	3.93618376083403	4.0490652279555	3.23589764661534	4.51156276825329	3.35829106258135	3.2815237088824
"FBXO2"	4.40797062749077	4.44733024479834	2.70127355935349	4.12807015575693	5.5941713322431	5.85221414622403
"FBXO44"	4.66541442998126	4.6377800183061	3.163575815878	4.05017386595607	5.28897774148577	5.42393369895719
"FBXO6"	0.568885376787578	0.561498780129941	-0.665066360431015	0.968177052242422	1.19023828582603	1.322476521325
"MAD2L2"	5.62464213658153	5.60766731274916	4.86550578856772	5.24271870147348	5.08205783341354	5.70042731424941
"AGTRAP"	2.67083221993203	2.80226552208374	1.18983657495832	2.47747513978119	2.97007201484562	3.56361750086749
"C1orf167"	2.10242926664541	1.87177766692306	0.175915585211743	2.74633861122814	2.76944684146866	2.4041345472245
"MTHFR"	4.17019903167075	4.25196930874691	3.01392575961131	4.86531683499084	4.87866558178605	4.50415561101677
"CLCN6"	4.11946621472357	4.17419757682831	3.47877715543935	4.21680429495478	4.55842039719834	4.53032430242798
"NPPA-AS1"	0.88910369556482	0.509112405427994	0.952924416606005	0.179362173100909	0.964932846111513	0.961341810471374
"KIAA2013"	4.75554227500747	4.59286567105941	3.25342549057452	4.24842061086953	4.76071382360689	4.93256298465897
"PLOD1"	5.28088644150712	5.3994888544894	4.18982095206882	4.94762811932002	6.22147915541866	5.96203354346722
"MFN2"	7.49923067038179	7.5801072762932	7.09618931716255	7.46803701075402	7.07266305128353	6.91965988035173
